id,entry_time,side,entry_token_price,size,value_usdc,take_profit_usd,stop_loss_usd,take_profit_pct,stop_loss_pct,exit_time,exit_token_price,pnl_usd,pnl_pct,exit_reason,status
84,2026-02-24 15:53:14,SHORT,0.7,6.0,4.199999999999999,1.0,1.0,0.2381,0.2381,2026-02-24 15:55:49,0.44,-1.5599999999999996,-37.14285714285714,STOP_LOSS_LOCAL,closed
83,2026-02-24 15:27:24,SHORT,0.8,6.0,4.800000000000001,1.0,1.0,0.2083,0.2083,2026-02-24 15:30:17,0.99,1.1399999999999997,23.74999999999999,AUTO_CLOSED_OR_MANUAL,closed
82,2026-02-24 12:58:49,SHORT,0.56,6.0,3.3600000000000003,1.0,1.0,0.2976,0.2976,2026-02-24 13:02:58,,0.0,0.0,FAKE_POSITION_CANCEL,closed
81,2026-02-24 12:46:29,SHORT,0.5,6.0,3.0,1.0,1.0,0.3333,0.3333,2026-02-24 12:52:32,0.71,1.2599999999999998,41.99999999999999,AUTO_CLOSED_OR_MANUAL,closed
80,2026-02-24 12:37:44,SHORT,0.74,6.0,4.4399999999999995,1.0,1.0,0.2252,0.2252,2026-02-24 12:40:10,0.25,-2.94,-66.21621621621621,AUTO_CLOSED_OR_MANUAL,closed
79,2026-02-24 12:30:23,SHORT,0.5,6.0,3.0,1.0,1.0,0.3333,0.3333,2026-02-24 12:31:23,0.72,1.3199999999999998,43.99999999999999,AUTO_CLOSED_OR_MANUAL,closed
78,2026-02-24 12:18:31,LONG,0.62,6.0,3.7199999999999998,1.0,1.0,0.2688,0.2688,2026-02-24 12:21:37,0.84,1.3199999999999998,35.48387096774193,AUTO_CLOSED_OR_MANUAL,closed
77,2026-02-24 12:16:34,LONG,0.58,6.0,3.4799999999999995,1.0,1.0,0.2874,0.2874,2026-02-24 12:21:33,0.83,1.5,43.10344827586208,AUTO_CLOSED_OR_MANUAL,closed
76,2026-02-24 12:13:54,SHORT,0.76,6.0,4.5600000000000005,1.0,1.0,0.2193,0.2193,2026-02-24 12:15:10,0.999,1.434,31.44736842105263,AUTO_CLOSED_OR_MANUAL,closed
75,2026-02-24 12:11:13,SHORT,0.66,6.0,3.96,1.0,1.0,0.2525,0.2525,2026-02-24 12:11:31,0.97,1.8599999999999997,46.96969696969696,AUTO_CLOSED_OR_MANUAL,closed
74,2026-02-24 12:08:02,LONG,0.6,6.0,3.5999999999999996,1.0,1.0,0.2778,0.2778,2026-02-24 12:09:53,0.365,-1.41,-39.166666666666664,SIGNAL_CHANGE,closed
73,2026-02-24 12:00:38,LONG,0.54,6.0,3.24,1.0,1.0,0.3086,0.3086,2026-02-24 12:09:48,0.01,-3.18,-98.14814814814815,SIGNAL_CHANGE,closed
72,2026-02-24 11:40:49,SHORT,0.65,6.0,3.9000000000000004,1.0,1.0,0.2564,0.2564,2026-02-24 11:41:38,0.2,-2.7,-69.23076923076923,AUTO_CLOSED_OR_MANUAL,closed
71,2026-02-24 11:24:42,LONG,0.68,6.0,4.08,1.0,1.0,0.2451,0.2451,2026-02-24 11:26:05,0.48,-1.2000000000000004,-29.41176470588236,STOP_LOSS_LOCAL,closed
70,2026-02-24 11:16:30,LONG,0.58,6.0,3.4799999999999995,1.0,1.0,0.2874,0.2874,2026-02-24 11:18:46,0.75,1.0200000000000002,29.310344827586217,AUTO_CLOSED_OR_MANUAL,closed
69,2026-02-24 11:06:28,SHORT,0.62,6.0,3.7199999999999998,1.0,1.0,0.2688,0.2688,2026-02-24 11:06:42,0.97,2.0999999999999996,56.4516129032258,AUTO_CLOSED_OR_MANUAL,closed
68,2026-02-24 11:00:57,SHORT,0.5,6.0,3.0,1.0,1.0,0.3333,0.3333,2026-02-24 11:01:47,0.7309950248756218,1.385970149253731,46.19900497512437,AUTO_CLOSED_OR_MANUAL,closed
67,2026-02-24 10:55:53,LONG,0.62,6.0,3.7199999999999998,1.0,1.0,0.2688,0.2688,2026-02-24 10:56:32,0.37,-1.5,-40.322580645161295,AUTO_CLOSED_OR_MANUAL,closed
66,2026-02-24 10:43:46,SHORT,0.82,6.0,4.92,1.0,1.0,0.2033,0.2033,2026-02-24 10:45:11,0.999,1.0740000000000003,21.829268292682933,AUTO_CLOSED_OR_MANUAL,closed
65,2026-02-24 10:38:31,SHORT,0.64,6.0,3.84,1.0,1.0,0.2604,0.2604,2026-02-24 10:40:37,0.88,1.44,37.5,AUTO_CLOSED_OR_MANUAL,closed
64,2026-02-24 10:36:59,LONG,0.58,6.0,3.4799999999999995,1.0,1.0,0.2874,0.2874,2026-02-24 10:37:25,0.28,-1.7999999999999996,-51.72413793103448,STOP_LOSS_LOCAL,closed
63,2026-02-24 10:36:32,LONG,0.58,6.0,3.4799999999999995,1.0,1.0,0.2874,0.2874,2026-02-24 10:36:39,0.39,-1.1399999999999997,-32.75862068965517,AUTO_CLOSED_OR_MANUAL,closed
62,2026-02-24 10:29:11,SHORT,0.78,6.0,4.68,1.0,1.0,0.2137,0.2137,2026-02-24 10:30:36,0.0,-4.68,-100.0,AUTO_CLOSED_OR_MANUAL,closed
61,2026-02-24 00:50:12,SHORT,0.68,6.0,4.08,1.0,1.0,0.2451,0.2451,2026-02-24 00:51:14,0.89,1.2599999999999998,30.882352941176467,AUTO_CLOSED_OR_MANUAL,closed
